,Mountain,Metres,Feet,Range,Location,Note,latlng
0,Mount Everest,8848.0,29029,Himalayas  ,Nepal/China,"Himalayas, Nepal/China","[27.987910000000056, 86.92529000000007]"
1,K2,8612.0,28255,Karakoram  ,Pakistan/China,"Karakoram, Pakistan/China","[35.88091000000003, 76.51334000000008]"
2,Kangchenjunga,8586.0,28169,Himalayas  ,Nepal/India,"Himalayas, Nepal/India","[27.703140000000076, 88.14739000000003]"
3,Lhotse,8516.0,27940,Himalayas  ,Nepal – Climbers ascend Lhotse Face in climbing Everest,"Himalayas, Nepal – Climbers ascend Lhotse Face in climbing Everest","[27.96204000000006, 86.93370000000004]"
4,Makalu,8485.0,27838,Himalayas  ,Nepal,"Himalayas, Nepal","[27.889880000000062, 87.08944000000008]"
5,Cho Oyu,8188.0,26864,Himalayas  ,"Nepal – Considered ""easiest"" eight-thousander","Himalayas, Nepal – Considered ""easiest"" eight-thousander","[28.09405000000004, 86.66080000000005]"
6,Dhaulagiri,8167.0,26795,Himalayas  ,Nepal – Presumed world's highest from 1808-1838,"Himalayas, Nepal – Presumed world's highest from 1808-1838","[28.696690000000046, 83.49257000000006]"
7,Manaslu,8163.0,26781,Himalayas  ,Nepal,"Himalayas, Nepal","[28.549920000000043, 84.55962000000005]"
8,Nanga Parbat,8126.0,26660,Himalayas  ,Pakistan,"Himalayas, Pakistan","[35.237310000000036, 74.58914000000004]"
9,Annapurna,8091.0,26545,Himalayas  ,Nepal – First eight-thousander to be climbed (1950),"Himalayas, Nepal – First eight-thousander to be climbed (1950)","[28.545930000000055, 83.92078000000004]"
10,Gasherbrum I (Hidden peak; K5),8080.0,26509,Karakoram  ,Pakistan/China – Originally named K5,"Karakoram, Pakistan/China – Originally named K5","[35.72443000000004, 76.69641000000007]"
11,Broad Peak,8051.0,26414,Karakoram  ,Pakistan/China,"Karakoram, Pakistan/China","[35.811668, 76.565002]"
12,Gasherbrum II (K4),8035.0,26362,Karakoram  ,Pakistan/China – Originally named K4,"Karakoram, Pakistan/China – Originally named K4","[35.75780000000003, 76.65298000000007]"
13,Shishapangma,8027.0,26335,Himalayas  ,China,"Himalayas, China","[28.353980000000035, 85.77807000000007]"
14,Gasherbrum III,7952.0,26089,Karakoram  ,Pakistan,"Karakoram, Pakistan","[35.75922000000003, 76.64165000000008]"
15,Gyachung Kang,7952.0,26089,Himalayas  ,Nepal (Khumbu)/China,"Himalayas, Nepal (Khumbu)/China","[28.098140000000058, 86.74440000000004]"
16,Annapurna II,7937.0,26040,Himalayas  ,Nepal,"Himalayas, Nepal","[28.534950000000038, 84.12219000000005]"
17,Gasherbrum IV (K3),7932.0,26024,Karakoram  ,Pakistan,"Karakoram, Pakistan","[35.76191000000006, 76.61595000000005]"
18,Himalchuli,7893.0,25896,Himalayas  ,"Manaslu, Nepal","Himalayas, Manaslu, Nepal","[28.43751000000003, 84.63341000000008]"
19,Distaghil Sar,7885.0,25869,Karakoram  ,Pakistan,"Karakoram, Pakistan","[36.32588000000004, 75.18807000000004]"
20,Ngadi Chuli,7871.0,25823,Himalayas  ,"Manaslu, Nepal","Himalayas, Manaslu, Nepal","[28.50279000000006, 84.56619000000006]"
21,Nuptse,7861.0,25791,Himalayas  ,"Everest Massif, Nepal","Himalayas, Everest Massif, Nepal","[27.967270000000042, 86.88696000000004]"
22,Khunyang Chhish,7852.0,25761,Karakoram  ,Pakistan,"Karakoram, Pakistan","[36.204360000000065, 75.20721000000003]"
23,Masherbrum (K1),7821.0,25659,Karakoram  ,Pakistan – Originally named K1,"Karakoram, Pakistan – Originally named K1","[35.641500000000065, 76.30563000000006]"
24,Nanda Devi,7816.0,25643,Himalayas  ,India (Uttarakhand),"Himalayas, India (Uttarakhand)","[18.342944, 74.643216]"
25,Chomo Lonzo,7804.0,25604,Himalayas  ,"Makalu Massiff, Nepal/China","Himalayas, Makalu Massiff, Nepal/China","[27.930680000000052, 87.10776000000004]"
26,Batura Sar,7795.0,25574,Karakoram  ,Pakistan,"Karakoram, Pakistan","[36.51040000000006, 74.52250000000004]"
27,Kanjut Sar,7790.0,25558,Karakoram  ,Pakistan,"Karakoram, Pakistan","[36.20557000000008, 75.41672000000005]"
28,Rakaposhi,7788.0,25551,Karakoram  ,Pakistan,"Karakoram, Pakistan","[36.14252000000005, 74.48992000000004]"
29,Namcha Barwa,7782.0,25531,Himalayas  ,China,"Himalayas, China","[29.631440000000055, 95.05483000000004]"
30,Batura II,7762.0,25466,Karakoram  ,Pakistan,"Karakoram, Pakistan","[24.921233, 84.343915]"
31,Kamet,7756.0,25446,Himalayas  ,India (Uttarakhand),"Himalayas, India (Uttarakhand)","[33.209814, 75.35841]"
32,Saltoro Kangri,7742.0,25400,Karakoram  ,India (Jammu and Kashmir),"Karakoram, India (Jammu and Kashmir)","[35.399230000000045, 76.84898000000004]"
33,Batura III,7729.0,25358,Karakoram  ,Pakistan,"Karakoram, Pakistan","[44.00389000000007, 17.843330000000037]"
34,Jannu,7710.0,25295,Himalayas  ,"Kangchenjunga, Nepal","Himalayas, Kangchenjunga, Nepal","[31.0878801, 77.3379721]"
35,Tirich Mir,7708.0,25289,Hindu Kush  ,Pakistan – #1 in Hindu Kush,"Hindu Kush, Pakistan – #1 in Hindu Kush","[36.29641000000004, 72.00498000000005]"
36,Molamenqing,7703.0,25272,Himalayas  ,"Shishapangma group, China","Himalayas, Shishapangma group, China","[28.35519000000005, 85.80927000000008]"
37,Gurla Mandhata,7694.0,25243,Himalayas (Nalakankar)  ,China,"Himalayas (Nalakankar), China","[30.438310000000058, 81.29595000000006]"
38,Saser Kangri,7672.0,25171,Karakoram  ,Pakistan / India (Jammu and Kashmir),"Karakoram, Pakistan / India (Jammu and Kashmir)","[34.86678000000006, 77.75346000000008]"
39,Chogolisa,7665.0,25148,Karakoram  ,Pakistan,"Karakoram, Pakistan","[35.61373000000003, 76.57608000000005]"
40,Kongur Tagh,7649.0,25095,Pamir or Kunlun Mountains  ,China,"Pamir or Kunlun Mountains, China","[38.59333000000004, 75.31257000000005]"
41,Shispare,7611.0,24970,Karakoram  ,Pakistan,"Karakoram, Pakistan","[36.44079000000005, 74.68094000000008]"
42,Silberzacken,7597.0,24925,Himalaya  ,Pakistan,"Himalaya, Pakistan","[51.496463, 7.375592]"
43,Changtse,7583.0,24879,Himalayas  ,"Everest Massif, China","Himalayas, Everest Massif, China","[28.024980000000028, 86.91494000000006]"
44,Trivor,7577.0,24859,Karakoram  ,Karakoram – Pakistan,"Karakoram, Karakoram – Pakistan","[36.28825000000006, 75.08357000000007]"
45,Gangkhar Puensum,7570.0,24836,Himalayas  ,Bhutan/China,"Himalayas, Bhutan/China","[28.049140000000023, 90.45477000000005]"
46,Gongga Shan,7556.0,24790,Daxue Shan  ,"Sichuan, China","Daxue Shan, Sichuan, China","[29.596040000000073, 101.87905000000006]"
47,Annapurna III,7555.0,24787,Himalayas  ,Nepal,"Himalayas, Nepal","[28.584790000000055, 83.99001000000004]"
48,Kula Kangri,7554.0,24783,Himalayas  ,China (possibly also Bhutan),"Himalayas, China (possibly also Bhutan)","[28.22667000000007, 90.61614000000009]"
49,Skyang Kangri,7545.0,24754,Karakoram  ,Pakistan,"Karakoram, Pakistan","[35.92238000000003, 76.56206000000003]"
50,Liankang Kangri,7535.0,24721,Himalayas  ,Bhutan/China,"Himalayas, Bhutan/China","[28.06418000000008, 90.44353000000007]"
51,Yukshin Gardan Sar,7530.0,24705,Karakoram  ,Pakistan,"Karakoram, Pakistan","[36.25158000000005, 75.37570000000005]"
52,Annapurna IV,7525.0,24688,Himalayas  ,Nepal,"Himalayas, Nepal","[28.53639000000004, 84.08300000000008]"
53,Saser Kangri II,7518.0,24665,Karakoram  ,India (Jammu and Kashmir),"Karakoram, India (Jammu and Kashmir)","[34.86678000000006, 77.75346000000008]"
54,Mamostong Kangri,7516.0,24659,Karakoram  ,India (Jammu and Kashmir),"Karakoram, India (Jammu and Kashmir)","[31.9920542, 76.6085789]"
55,Muztagh Ata,7509.0,24636,Kongur Tagh  ,China (Xinjiang),"Kongur Tagh, China (Xinjiang)","[38.27582000000007, 75.11619000000007]"
56,Ismoil Somoni Peak,7495.0,24590,Pamir Mountains  ,Tajikistan,"Pamir Mountains, Tajikistan","[38.94620000000003, 72.01990000000006]"
57,Saser Kangri III,7495.0,24590,Karakoram  ,India (Jammu and Kashmir),"Karakoram, India (Jammu and Kashmir)","[34.86678000000006, 77.75346000000008]"
58,Noshaq,7492.0,24580,Hindu Kush  ,Pakistan/Afghanistan – #1 in Afghanistan,"Hindu Kush, Pakistan/Afghanistan – #1 in Afghanistan","[36.43473000000006, 71.83974000000006]"
59,Pumari Chhish,7492.0,24580,Karakoram  ,Pakistan,"Karakoram, Pakistan","[34.83006000000006, 76.17416000000003]"
60,Passu Sar,7476.0,24528,Karakoram  ,Pakistan,"Karakoram, Pakistan","[-5.11504999999994, 154.5580900000001]"
61,Jongsong Peak,7462.0,24482,Himalayas  ,India/Nepal/China,"Himalayas, India/Nepal/China","[27.881380000000036, 88.13580000000007]"
62,Malubiting,7458.0,24469,Karakoram  ,Pakistan,"Karakoram, Pakistan","[36.003400000000056, 74.87780000000004]"
63,Gangapurna,7455.0,24459,Annapurna Himalaya  ,Nepal,"Annapurna Himalaya, Nepal","[28.60540000000003, 83.96336000000008]"
64,Muchu Chhish (Batura V),7453.0,24452,Karakoram  ,Pakistan,"Karakoram, Pakistan","[24.921233, 84.343915]"
65,Jengish Chokusu,7439.0,24406,Tian Shan  ,China/Kyrgyzstan – #1 in Tian Shan,"Tian Shan, China/Kyrgyzstan – #1 in Tian Shan","[42.035000000000025, 80.12556000000006]"
66,K12,7428.0,24370,Karakoram  ,India(Jammu and Kashmir)/Pakistan,"Karakoram, India(Jammu and Kashmir)/Pakistan","[37.149427, -121.65269]"
67,Sia Kangri,7422.0,24350,Karakoram  ,Pakistan,"Karakoram, Pakistan","[35.664630000000045, 76.76219000000003]"
68,Momhil Sar,7414.0,24324,Karakoram  ,Pakistan,"Karakoram, Pakistan","[36.31827000000004, 75.03720000000004]"
69,Istor-o-Nal,7403.0,24288,Hindu Kush  ,Pakistan,"Hindu Kush, Pakistan","[36.37634000000003, 71.89737000000008]"
70,Ghent Kangri,7401.0,24281,Karakoram  ,India (Jammu and Kashmir)/Pakistan,"Karakoram, India (Jammu and Kashmir)/Pakistan","[31.9920542, 76.6085789]"
71,Haramosh Peak,7397.0,24268,Karakoram  ,Pakistan,"Karakoram, Pakistan","[35.84001000000006, 74.89749000000006]"
72,Kabru,7394.0,24259,Himalayas  ,"Kanchenjunga, India (Sikkim)/Nepal","Himalayas, Kanchenjunga, India (Sikkim)/Nepal","[27.616170000000068, 88.11636000000004]"
73,Ultar,7388.0,24239,Karakoram  ,Pakistan,"Karakoram, Pakistan","[33.98533900000007, -118.161611]"
74,Rimo I,7385.0,24229,Karakoram  ,India (Jammu and Kashmir),"Karakoram, India (Jammu and Kashmir)","[2.3934205, 97.9609773]"
75,Sherpi Kangri,7380.0,24213,Karakoram  ,Pakistan,"Karakoram, Pakistan","[35.46605000000005, 76.78045000000003]"
76,Churen Himal,7371.0,24183,Himalayas  ,Nepal,"Himalayas, Nepal","[28.732390000000066, 83.20628000000005]"
77,Labuche Kang,7367.0,24170,Himalayas  ,"near Cho Oyu, Nepal/China","Himalayas, near Cho Oyu, Nepal/China","[28.304040000000043, 86.35074000000003]"
78,Kirat Chuli,7365.0,24163,Himalayas  ,Nepal/India (Sikkim) border,"Himalayas, Nepal/India (Sikkim) border","[27.788020000000074, 88.19554000000005]"
79,Skil Brum,7360.0,24147,Karakoram  ,"Pakistan – May also be given as 7,410 m","Karakoram, Pakistan – May also be given as 7,410 m","[52.48142000000007, -1.8998299999999517]"
80,Abi Gamin,7355.0,24131,Himalayas  ,India,"Himalayas, India","[30.10000000000008, 53.033330000000035]"
81,Gimmigela Chuli,7350.0,24114,Himalayas  ,Nepal/India (Sikkim) border,"Himalayas, Nepal/India (Sikkim) border","[27.739990000000034, 88.15786000000008]"
82,Saraghrar,7340.0,24081,Hindu Kush  ,Pakistan,"Hindu Kush, Pakistan","[26.894006, 80.420367]"
83,Bojohagur Duanasir,7329.0,24045,Karakoram  ,Pakistan,"Karakoram, Pakistan","[36.40015000000005, 74.69553000000008]"
84,Chamlang,7319.0,24012,Himalayas  ,"Khumbu, Nepal","Himalayas, Khumbu, Nepal","[11.0538138, 105.7501474]"
85,Chongtar Kangri,7315.0,23999,Karakoram  ,Pakistan,"Karakoram, Pakistan","[31.9920542, 76.6085789]"
86,Jomolhari / Chomolhari,7314.0,23996,Himalayas  ,Bhutan/China,"Himalayas, Bhutan/China","[27.824050000000057, 89.26919000000004]"
87,Baltoro Kangri,7312.0,23990,Karakoram  ,Pakistan,"Karakoram, Pakistan","[35.64690000000007, 76.66436000000004]"
88,Siguang Ri,7308.0,23976,Himalayas  ,China,"Himalayas, China","[23.821300000000065, 108.99800000000005]"
89,Summa Ri,7302.0,23957,Himalayas  ,Pakistan,"Himalayas, Pakistan","[42.2293217, -1.8871541]"
90,The Crown,7295.0,23934,Karakoram  ,China (Xinjiang),"Karakoram, China (Xinjiang)","[21.815007, 84.005271]"
91,Gyala Peri,7294.0,23930,Himalayas  ,China,"Himalayas, China","[29.814960000000042, 94.97000000000008]"
92,Porong Ri,7292.0,23924,Himalayas  ,China,"Himalayas, China","[28.389470000000074, 85.71992000000006]"
93,Baintha Brakk,7285.0,23901,Karakoram  ,Pakistan,"Karakoram, Pakistan","[35.947430000000054, 75.75231000000008]"
94,Yutmaru Sar,7283.0,23894,Karakoram  ,Pakistan,"Karakoram, Pakistan","[36.22645000000006, 75.36724000000004]"
95,K6,7282.0,23891,Karakoram  ,Pakistan – Also known as Baltistan Peak,"Karakoram, Pakistan – Also known as Baltistan Peak","[52.500543, 13.350364]"
96,Kangpenqing,7281.0,23888,Himalayas  ,China,"Himalayas, China","[28.551840000000027, 85.54504000000009]"
97,Mana Peak,7272.0,23858,Himalayas  ,India (Uttarakhand) – SSE of Kamet,"Himalayas, India (Uttarakhand) – SSE of Kamet","[-72.84999999999997, -3.383329999999944]"
98,Muztagh Tower,7273.0,23862,Karakoram  ,Pakistan,"Karakoram, Pakistan","[35.82820000000004, 76.36210000000005]"
99,Diran,7257.0,23809,Karakoram  ,Pakistan,"Karakoram, Pakistan","[11.708582, -7.3481429]"
100,Apsarasas Kangri,7245.0,23770,Karakoram  ,China/Pakistan,"Karakoram, China/Pakistan","[35.53991000000008, 77.14692000000008]"
101,Langtang Lirung,7227.0,23711,Himalayas  ,Nepal,"Himalayas, Nepal","[28.256110000000035, 85.51944000000003]"
102,Karjiang,7221.0,23691,Himalayas  ,China,"Himalayas, China","[31.033330000000035, 107.88333000000006]"
103,Annapurna South,7219.0,23684,Himalayas  ,Nepal,"Himalayas, Nepal","[28.51938000000007, 83.80663000000004]"
104,Khartaphu,7213.0,23665,Himalayas  ,China,"Himalayas, China","[26.049733, 82.577958]"
105,Tongshanjiabu,7207.0,23645,Himalayas  ,Bhutan/China,"Himalayas, Bhutan/China","[28.18658000000005, 89.95756000000006]"
106,Langtang Ri,7205.0,23638,Himalayas  ,Nepal/China,"Himalayas, Nepal/China","[28.38241000000005, 85.68936000000008]"
107,Kangphu Kang,7204.0,23635,Himalayas  ,Bhutan/China,"Himalayas, Bhutan/China","[28.156160000000057, 90.07304000000005]"
108,Singhi Kangri,7202.0,23629,Himalayas  ,India/China,"Himalayas, India/China","[35.59842000000003, 76.98329000000007]"
109,Lupghar Sar,7200.0,23622,Karakoram  ,Pakistan,"Karakoram, Pakistan","[36.35067000000004, 75.03679000000005]"
110,Gurja Himal,7193.0,23599,Himalayas  ,Nepal,"Himalayas, Nepal","[28.666670000000067, 83.30000000000007]"
111,Melungtse,7181.0,23560,Rolwaling Himalayas  ,China,"Rolwaling Himalayas, China","[-16.159999999999968, 35.70694000000003]"
112,Liushi Shan,7167.0,23514,Kunlun  ,China – #1 in Kunlun,"Kunlun, China – #1 in Kunlun","[36.45386000000008, 107.68803000000008]"
113,Baruntse,7162.0,23497,Himalayas  ,"Khumbu, Nepal","Himalayas, Khumbu, Nepal","[27.871950000000027, 86.98017000000004]"
114,Pumori,7161.0,23494,Himalayas  ,"Khumbu, Nepal","Himalayas, Khumbu, Nepal","[28.015660000000025, 86.82804000000004]"
115,Hardeol,7151.0,23461,Himalayas  ,India (Uttarakhand),"Himalayas, India (Uttarakhand)","[10.67093, 14.3981274]"
116,Gasherbrum V,7147.0,23448,Karakoram  ,Pakistan,"Karakoram, Pakistan","[35.72443000000004, 76.69641000000007]"
117,Latok I,7145.0,23442,Karakoram  ,Pakistan,"Karakoram, Pakistan","[55.5032038, 26.6333535]"
118,Kampire Dior,7143.0,23435,Karakoram  ,Pakistan,"Karakoram, Pakistan","[36.62465000000003, 74.31863000000004]"
119,Nemjung,7140.0,23425,Himalayas  ,Nepal,"Himalayas, Nepal","[35.94644000000005, 126.9557400000001]"
120,Udren Zom,7140.0,23425,Hindu Kush  ,Pakistan,"Hindu Kush, Pakistan","[36.470060000000046, 72.03921000000008]"
121,Chaukhamba,7138.0,23419,Himalayas  ,India (Uttarakhand),"Himalayas, India (Uttarakhand)","[29.719756, 78.863829]"
122,Nun Kun,7135.0,23409,Karakoram  ,India(Jammu and Kashmir),"Karakoram, India(Jammu and Kashmir)","[34.0861442, 74.8507383]"
123,Tilicho Peak,7134.0,23406,Himalayas  ,"Annapurna Himal, Nepal","Himalayas, Annapurna Himal, Nepal","[28.68381000000005, 83.80972000000008]"
124,Gauri Sankar,7134.0,23406,Rolwaling Himalayas  ,Nepal/China,"Rolwaling Himalayas, Nepal/China","[27.956800000000044, 86.33692000000008]"
125,Lenin Peak,7134.0,23406,Pamir Mountains  ,Tajikistan-Kyrgyzstan – #2 in Pamirs,"Pamir Mountains, Tajikistan-Kyrgyzstan – #2 in Pamirs","[39.343350000000044, 72.87749000000008]"
126,Bularung Sar,7134.0,23406,Karakoram  ,Pakistan,"Karakoram, Pakistan",
127,Api,7132.0,23399,Himalayas  ,Nepal,"Himalayas, Nepal","[3.7120949, 25.4071413]"
128,Teri Kang,7124.0,23373,Himalayas  ,Bhutan,"Himalayas, Bhutan","[2.6192792, 103.6787747]"
129,Pauhunri,7128.0,23386,Himalayas  ,India (Sikkim)/China,"Himalayas, India (Sikkim)/China","[27.952560000000062, 88.84244000000007]"
130,Trisul,7120.0,23360,Himalayas  ,India (Uttarakhand),"Himalayas, India (Uttarakhand)","[30.312780000000032, 79.77722000000006]"
131,Korzhenevskaya,7105.0,23310,Pamir Mountains  ,Tajikistan – #3 in Pamirs,"Pamir Mountains, Tajikistan – #3 in Pamirs","[61.25560000000007, 41.63450000000006]"
132,Lunpo Gangri,7095.0,23278,Himalayas (Gangdise)  ,China,"Himalayas (Gangdise), China","[21.897634, 69.368249]"
133,Satopanth,7075.0,23212,Himalayas  ,India (Uttarakhand),"Himalayas, India (Uttarakhand)","[39.08705882000004, 141.7107865900001]"
134,Tirsuli,7074.0,23209,Himalayas  ,India (Uttarakhand),"Himalayas, India (Uttarakhand)","[23.025385, 86.819413]"
135,Dunagiri,7066.0,23182,Himalayas  ,India (Uttarakhand),"Himalayas, India (Uttarakhand)","[30.516130000000032, 79.86683000000005]"
136,Kangto,7060.0,23163,Himalayas  ,India (Arunachal Pradesh)/China,"Himalayas, India (Arunachal Pradesh)/China","[27.866400000000056, 92.53106000000008]"
137,Nyegyi Kansang,7047.0,23120,Himalayas  ,India (Arunachal Pradesh)/China,"Himalayas, India (Arunachal Pradesh)/China","[35.605360000000076, 128.49319000000003]"
138,Chomolhari Kang,7046.0,23117,Himalayas  ,Bhutan,"Himalayas, Bhutan","[28.16619000000003, 90.18256000000008]"
139,Salasungo,7043.0,23107,Himalayas  ,Nepal/China,"Himalayas, Nepal/China","[28.33504000000005, 85.12388000000004]"
140,Link Sar,7041.0,23100,Karakoram  ,Pakistan,"Karakoram, Pakistan","[55.796664, 37.7123337]"
141,Kezhen Peak,7038.0,23091,Karakoram  ,China (Xinjiang),"Karakoram, China (Xinjiang)","[42.75000000000006, 24.400000000000034]"
142,Shah Dhar,7038.0,23091,Hindu Kush  ,Pakistan/Afghanistan,"Hindu Kush, Pakistan/Afghanistan","[36.670900000000074, 72.23270000000008]"
143,Saipal,7031.0,23068,Himalayas  ,Nepal,"Himalayas, Nepal","[29.964860000000044, 81.21803000000006]"
144,Padmanabh,7030.0,23064,Himalayas  ,India,"Himalayas, India","[13.102448, 80.274613]"
145,Spantik,7027.0,23054,Karakoram  ,Pakistan,"Karakoram, Pakistan","[36.05711000000008, 74.96615000000008]"
146,Pamri Sar,7016.0,23018,Karakoram  ,Pakistan,"Karakoram, Pakistan","[26.032250000000033, 84.93102000000005]"
147,Khan Tengri,7010.0,22999,Tian Shan  ,Kyrgyzstan-Kazakhstan-China,"Tian Shan, Kyrgyzstan-Kazakhstan-China","[43.5380786, 79.4647511]"
148,Machapuchare,6993.0,22943,"Annapurna Himalaya, Nepal – Officially unclimbed (attempts not allowed)",,"Annapurna Himalaya, Nepal – Officially unclimbed (attempts not allowed), ","[28.49565000000007, 83.94614000000007]"
149,Laila Peak (Haramosh Valley),6985.0,22917,"Karakoram, Pakistan",,"Karakoram, Pakistan, ","[32.817417, -85.171465]"
150,Kang Guru,6981.0,22904,"Manaslu Himalaya, Nepal – 2005 avalanche kills 18",,"Manaslu Himalaya, Nepal – 2005 avalanche kills 18, ","[-27.3424706, 23.858964]"
151,Gasherbrum VI,6979.0,22897,"Karakoram, Pakistan",,"Karakoram, Pakistan, ","[35.70854000000003, 76.63144000000005]"
152,Karun Kuh,6977.0,22890,"Karakoram, Pakistan",,"Karakoram, Pakistan, ","[36.61244000000005, 75.07925000000006]"
153,Avicenna Peak,6974.0,22881,"Pamir Mountains, Tajikistan – #3 in Pamirs",,"Pamir Mountains, Tajikistan – #3 in Pamirs, ","[-7.321888, 108.198823]"
154,Ulugh Muztagh,6973.0,22877,"Kunlun Mountains, Often misquoted as 7,723 m",,"Kunlun Mountains, Often misquoted as 7,723 m, ","[36.416600000000074, 87.41330000000005]"
155,Aconcagua,6962.0,22841,"Andes, Argentina – Highest in both the Western and Southern Hemispheres",,"Andes, Argentina – Highest in both the Western and Southern Hemispheres, ","[-32.65382999999997, -70.01140999999996]"
156,Napko Kangri,6956.0,22822,"Karakoram, China",,"Karakoram, China, ","[31.9920542, 76.6085789]"
157,Sangemarmar Sar,6949.0,22799,"Karakoram, Pakistan",,"Karakoram, Pakistan, ","[22.5731208, 88.3516803]"
158,Kedarnath (mountain),6940.0,22769,"Himalayas, India",,"Himalayas, India, ","[30.79750000000007, 79.06749000000008]"
159,K7,6934.0,22749,Karakoram – Pakistan,,"Karakoram – Pakistan, ","[32.0389516, 75.4042853]"
160,Panchchuli,6904.0,22651,"Himalayas, India",,"Himalayas, India, ","[21.167174, 74.086054]"
161,Thalay Sagar,6904.0,22651,"Himalayas, India",,"Himalayas, India, ","[23.8477, 78.743301]"
162,Lunkho e Dosare,6901.0,22641,"Hindu Kush, Afghanistan-Pakistan",,"Hindu Kush, Afghanistan-Pakistan, ","[36.77997000000005, 72.41576000000003]"
163,Lunag Ri,6895.0,22621,"Himalaya, Nepal-China",,"Himalaya, Nepal-China, ","[42.25871634023126, -2.7726522242139167]"
164,Ojos del Salado,6891.0,22608,"Andes, Argentina-Chile – Highest volcano on Earth",,"Andes, Argentina-Chile – Highest volcano on Earth, ","[-27.109789999999975, -68.54043999999993]"
165,Siniolchu,6888.0,22598,"Kangchenjunga Himalaya, India (Sikkim)",,"Kangchenjunga Himalaya, India (Sikkim), ","[27.750000000000057, 88.31667000000004]"
166,Kanjiroba,6883.0,22582,"Himalayas, Nepal",,"Himalayas, Nepal, ","[29.40793000000008, 82.70660000000004]"
167,Bairiga,6882.0,22579,Kangri Garpo,,"Kangri Garpo, ","[29.16316000000006, 96.72356000000008]"
168,Koyo Zom,6872.0,22546,"Hindu Kush, Pakistan",,"Hindu Kush, Pakistan, ","[35.16700803400005, 135.52437693800005]"
169,Nanda Kot,6861.0,22510,"Himalayas, India (Uttarakhand)",,"Himalayas, India (Uttarakhand), ","[30.281670000000076, 80.06833000000006]"
170,Kubi Gangri,6859.0,22503,"Himalayas, Nepal/China",,"Himalayas, Nepal/China, ","[21.897634, 69.368249]"
171,Angel Sar,6858.0,22500,"Karakoram, Pakistan",,"Karakoram, Pakistan, ","[58.48553000000004, -124.85858999999999]"
172,Bhagirathi Parbat I,6856.0,22493,"Himalayas, India (Uttarakhand)",,"Himalayas, India (Uttarakhand), ","[18.473750012216044, 73.8589540095343]"
173,Jethi Bahurani,6850.0,22474,"Himalayas, Nepal",,"Himalayas, Nepal, ","[29.67996000000005, 81.53438000000006]"
174,Chongra Peak,6830.0,22408,"Nanga Parbat Himalaya, Pakistan",,"Nanga Parbat Himalaya, Pakistan, ","[35.32416000000006, 74.67241000000007]"
175,Chomo Yummo,6829.0,22405,"Sikkim, India/China",,"Sikkim, India/China, ","[8.804185, 78.143053]"
176,Reo Purgyil,6816.0,22362,"Western Himalaya, India border – Highest in Himachal Pradesh",,"Western Himalaya, India border – Highest in Himachal Pradesh, ","[31.88414000000006, 78.73499000000004]"
177,Ama Dablam,6812.0,22349,"Himalayas, Nepal (Khumbu)",,"Himalayas, Nepal (Khumbu), ","[45.9007146, 6.1245061]"
178,Monte Pissis,6795.0,22293,"Andes, Argentina – Third highest in Western Hemisphere",,"Andes, Argentina – Third highest in Western Hemisphere, ","[-27.758599999999944, -68.79912999999993]"
179,Kangtega,6782.0,22251,"Himalayas, Nepal",,"Himalayas, Nepal, ","[27.792580000000044, 86.81701000000004]"
180,Biarchedi,6781.0,22247,"Karakoram, Pakistan",,"Karakoram, Pakistan, ","[23.775114, 77.417874]"
181,Huascarán Sur,6768.0,22205,"Andes, Peru – Highest",,"Andes, Peru – Highest, ","[38.83812700000004, -77.06227499999994]"
182,Cerro Bonete,6759.0,22175,"Andes, Argentina",,"Andes, Argentina, ","[-38.162489999999934, -61.686829999999986]"
183,Nevado Tres Cruces,6749.0,22142,"Andes, Argentina/Chile",,"Andes, Argentina/Chile, ","[-27.09809999999993, -68.77904999999998]"
184,Kawagarbo,6740.0,22113,"Himalayas, China",,"Himalayas, China, ","[28.43834000000004, 98.68416000000008]"
185,Llullaillaco,6739.0,22110,"Andes, Argentina/Chile",,"Andes, Argentina/Chile, ","[-24.71957999999995, -68.53707999999995]"
186,Cho Polu,6735.0,22096,"Himalayas, Nepal (Khumbu)",,"Himalayas, Nepal (Khumbu), ","[27.919560000000047, 86.98132000000004]"
187,Kangju Kangri,6725.0,22064,"Karakoram, India (Jammu and Kashmir)",,"Karakoram, India (Jammu and Kashmir), ","[59.3533293, 24.778547]"
188,Changla,6721.0,22051,"Himalayas, Nepal/China",,"Himalayas, Nepal/China, ","[31.837543, 76.67327]"
189,Mercedario,6720.0,22047,"Andes, Argentina",,"Andes, Argentina, ","[1.2040933, -77.2607315]"
190,Mount Pandim,6691.0,21952,"Himalayas, India (Sikkim)",,"Himalayas, India (Sikkim), ","[4.583330000000046, 14.266670000000033]"
191,Num Ri,6677.0,21906,"Himalayas, Nepal (Khumbu)",,"Himalayas, Nepal (Khumbu), ","[29.300000000000068, 89.20000000000005]"
192,Lungser Kangri,6666.0,21870,"Ladakh, Himalayas, India (Jammu and Kashmir)",,"Ladakh, Himalayas, India (Jammu and Kashmir), ","[31.9920542, 76.6085789]"
193,Meru Peak,6660.0,21850,"Himalayas, India",,"Himalayas, India, ","[0.016960000000040054, 37.712950000000035]"
194,Gul Lasht Zom,6657.0,21841,"Hindu Kush, Pakistan",,"Hindu Kush, Pakistan, ","[36.35365000000007, 71.73484000000008]"
