,Mountain,Metres,Feet,Range,Location,Note,latlng
1016,Bayuvi dupki,2820.0,9252,,"Pirin Mountain, Bulgaria",", Pirin Mountain, Bulgaria","[41.790500000000065, 23.378390000000024]"
1017,Mount Fernow,2819.0,9249,,"Washington, US",", Washington, US","[48.16207000000003, -120.80814999999996]"
1018,Mount Hermon,2814.0,9232,,Syria and Lebanon; a subpeak on its southern slopes is within the Israeli-occupied Golan Heights region,", Syria and Lebanon; a subpeak on its southern slopes is within the Israeli-occupied Golan Heights region","[51.31481152400005, -0.5617470499999513]"
1019,Mount Deakin,2810.0,9219,,Antarctica,", Antarctica","[-17.642949999999928, 130.7952100000001]"
1020,Mount Cory,2802.0,9193,,"Alberta, Canada",", Alberta, Canada","[40.935483, -83.823578]"
1021,Mount Thielsen,2799.0,9183,,"Cascades, Oregon, US",", Cascades, Oregon, US","[43.152730000000076, -122.06661999999994]"
1022,Pedra da Mina,2798.0,9180,,"Serra da Mantiqueira, Minas Gerais/São Paulo, Brazil",", Serra da Mantiqueira, Minas Gerais/São Paulo, Brazil","[-22.416669999999954, -44.849999999999966]"
1023,Mount Ruapehu,2797.0,9177,,"Tongariro National Park, North Island, New Zealand",", Tongariro National Park, North Island, New Zealand","[-39.2863368, 175.5636976]"
1024,Copper Mountain,2795.0,9170,,"Alberta, Canada",", Alberta, Canada","[39.500816, -106.146489]"
1025,Maiella,2793.0,9163,,Abruzzo Italy,", Abruzzo Italy","[-1.0484747, 36.5543935]"
1026,Pico das Agulhas Negras,2792.0,9160,,"Serra do Itatiaia, Minas Gerais/Rio de Janeiro, Brazil",", Serra do Itatiaia, Minas Gerais/Rio de Janeiro, Brazil","[-22.380119999999977, -44.66053999999997]"
1027,Deno,2790.0,9154,,"Rila Mountain, Bulgaria",", Rila Mountain, Bulgaria","[-8.5348007, 120.5773304]"
1028,Hayes Volcano,2788.0,9147,,"Alaska, US",", Alaska, US","[61.60000000000008, -152.45499999999998]"
1029,Mount Edziza,2787.0,9144,,"British Columbia, Canada",", British Columbia, Canada","[57.71589000000006, -130.63447999999994]"
1030,Canigou,2784.0,9134,,"Pyrenees, France",", Pyrenees, France","[42.6011029, 2.9597156]"
1031,Mount Weaver,2780.0,9121,,Antarctica,", Antarctica","[35.60557000000006, -83.43688999999995]"
1032,Buckner Mountain,2778.0,9114,,"Washington, US",", Washington, US","[37.56033000000008, -90.33900999999997]"
1033,Mount Longonot,2776.0,9108,,"Great Rift Valley, Kenya",", Great Rift Valley, Kenya","[-0.9147499999999695, 36.457080000000076]"
1034,Seven Fingered Jack,2774.0,9101,,"Washington, US",", Washington, US","[48.15068000000008, -120.81398999999999]"
1035,Mount Nirvana,2773.0,9098,,"Northwest Territories, Canada",", Northwest Territories, Canada","[28.4152349, 77.0583265]"
1036,Pico do Cristal,2770.0,9088,,"Serra do Caparaó, Minas Gerais, Brazil",", Serra do Caparaó, Minas Gerais, Brazil","[20.886549, -76.258363]"
1037,Chief Mountain,2768.0,9081,,"Montana, US",", Montana, US","[33.38725000000005, -117.05002999999999]"
1038,Ovcharets,2768.0,9081,,"Rila Mountain, Bulgaria",", Rila Mountain, Bulgaria","[42.143080000000054, 23.59459000000004]"
1039,Lincoln Peak,2768.0,9081,,"Washington, US",", Washington, US","[57.24833000000007, -133.10582999999997]"
1040,Castle Mountain,2766.0,9075,,"Canadian Rockies, Canada",", Canadian Rockies, Canada","[18.1309852, -76.3542781]"
1041,Pyramid Mountain,2766.0,9075,,"Canadian Rockies, Canada",", Canadian Rockies, Canada","[55.63722000000007, -160.68277999999998]"
1042,Pico Naiguata (Avila),2765.0,9072,,"Caracas, Venezuela",", Caracas, Venezuela","[40.6563881, -4.700433]"
1043,Mount Bachelor,2764.0,9068,,"Formerly Bachelor Butte, Cascade Mountains, Oregon, US",", Formerly Bachelor Butte, Cascade Mountains, Oregon, US","[43.979280000000074, -121.68836999999996]"
1044,Mount Korab,2764.0,9068,,North Macedonia & Albania – Highest,", North Macedonia & Albania – Highest","[41.79056000000003, 20.546670000000063]"
1045,Yalovarnika,2763.0,9065,,"Pirin Mountain, Bulgaria",", Pirin Mountain, Bulgaria","[41.67226000000005, 23.487930000000063]"
1046,Gazey,2761.0,9058,,"Pirin Mountain, Bulgaria",", Pirin Mountain, Bulgaria","[42.95149, -123.236302]"
1047,Mount Sir James MacBrien,2759.0,9052,,Canada,", Canada","[62.12363000000005, -127.67975999999999]"
1048,Kaymakchal,2753.0,9032,,"Pirin Mountain, Bulgaria",", Pirin Mountain, Bulgaria","[41.74555000000004, 23.48935000000006]"
1049,Mount Olympus,2751.0,9026,,"Utah, US",", Utah, US","[40.081750000000056, 22.349540000000047]"
1050,Todorka,2746.0,9009,,"Pirin Mountain, Bulgaria",", Pirin Mountain, Bulgaria","[52.884036, 18.818144]"
1051,Mawson Peak,2745.0,9006,,Highest in Australian Antarctic Territory,", Highest in Australian Antarctic Territory","[-53.099999999999966, 73.51667000000003]"
1052,Fairview Mountain,2744.0,9003,,"Bow Range, Canadian Rockies, Canada",", Bow Range, Canadian Rockies, Canada","[34.400370000000066, -86.83971999999994]"
1053,Mount Baekdu,2744.0,9003,,North Korea/China Highest in North Korea,", North Korea/China Highest in North Korea","[41.99365000000006, 128.07632]"
1054,Škrlatica,2740.0,8990,,"Julian Alps, Slovenia",", Julian Alps, Slovenia","[46.43294000000003, 13.821170000000052]"
1055,Monte Roraima,2739.0,8986,,"Serra de Pacaraima, Roraima, Brazil",", Serra de Pacaraima, Roraima, Brazil","[5.194850000000031, -60.73730999999998]"
1056,Heavens Peak,2739.0,8986,,"Montana, US",", Montana, US","[48.70886000000007, -113.85622999999998]"
1057,Mount Spickard,2737.0,8980,,"North Cascades, US",", North Cascades, US","[48.96957000000003, -121.24040999999994]"
1058,Banderishki Chukar,2732.0,8963,,"Pirin Mountain, Bulgaria",", Pirin Mountain, Bulgaria","[63.7472618, 117.9605133]"
1059,Mount Melbourne,2732.0,8963,,Antarctica,", Antarctica","[-74.34991999999994, 164.69973000000005]"
1060,Cerro El Pital,2730.0,8957,,El Salvador – Highest,", El Salvador – Highest","[14.383890000000065, -89.12881999999996]"
1061,Mount Redoubt,2730.0,8957,,"Washington, US",", Washington, US","[48.95818000000003, -121.30179999999996]"
1062,Dzhengal,2730.0,8957,,"Pirin Mountain, Bulgaria",", Pirin Mountain, Bulgaria","[41.700000000000045, 23.483330000000024]"
1063,Malyovitsa,2729.0,8953,,"Rila Mountain, Bulgaria",", Rila Mountain, Bulgaria","[42.17244000000005, 23.362430000000074]"
1064,Pizzo di Claro,2727.0,8947,,"Ticino, Switzerland",", Ticino, Switzerland","[46.29606000000007, 9.055650000000071]"
1065,Mount Morning,2723.0,8934,,Antarctica,", Antarctica","[-78.51666999999998, 163.58333000000005]"
1066,Phu Xai Lai Leng,2720.0,8924,,Laos,", Laos","[19.198110000000042, 104.18163000000004]"
1067,Serles,2718.0,8917,,"Stubai Alps, Austria",", Stubai Alps, Austria","[35.169419, -88.843392]"
1068,Mount Singakalsa (Timbak),2717.0,8914,,"Cordillera Range, Benguet, Philippines",", Cordillera Range, Benguet, Philippines","[16.653680000000065, 120.79394000000002]"
1069,Watzmann,2713.0,8901,,"Bavarian Alps, Germany",", Bavarian Alps, Germany","[47.554500000000075, 12.922100000000057]"
1070,Boston Peak,2711.0,8894,,"Washington, US",", Washington, US","[38.85194000000007, -106.74447999999995]"
1071,Schiahorn,2709.0,8888,,Switzerland,", Switzerland","[46.459790000000055, 9.459260000000029]"
1072,Grotto Mountain,2706.0,8878,,"Canadian Rockies, Canada",", Canadian Rockies, Canada","[67.58972000000006, -150.13666999999998]"
1073,Mount Haku,2702.0,8865,,"Ryōhaku Mountains, Japan",", Ryōhaku Mountains, Japan","[36.16435000000007, 136.76828000000012]"
1074,Eldorado Peak,2701.0,8862,,"Washington, US",", Washington, US","[48.537630000000036, -121.13427999999999]"
1075,Anaimudi,2695.0,8842,,"Kerala, India – #1 in Western Ghats, India",", Kerala, India – #1 in Western Ghats, India","[10.168460000000039, 77.06180000000006]"
1076,Maja Jezerce,2694.0,8839,,"#1 in Dinaric Alps, Albania",", #1 in Dinaric Alps, Albania","[42.442506, 19.814169]"
1077,Half Dome,2693.0,8835,,"Sierra Nevada, California, US",", Sierra Nevada, California, US","[37.74604000000005, -119.53293999999994]"
1078,Mount Louis,2682.0,8799,,"Alberta, Canada",", Alberta, Canada","[42.50833000000006, 2.1200000000000614]"
1079,Mount Discovery,2681.0,8796,,Antarctica,", Antarctica","[44.25561000000005, -73.54540999999995]"
1080,Morro do Couto,2680.0,8793,,"Serra das Prateleiras, Rio de Janeiro, Brazil",", Serra das Prateleiras, Rio de Janeiro, Brazil","[-22.4746456, -44.5797638]"
1081,Pic de la Selle,2680.0,8793,,Haiti,", Haiti","[-18.766669999999976, 169.23333000000002]"
1082,Mount Garibaldi,2678.0,8786,,"British Columbia, Canada",", British Columbia, Canada","[49.850520000000074, -123.00451999999996]"
1083,Bashliyski Chukar,2670.0,8760,,"Pirin Mountain, Bulgaria",", Pirin Mountain, Bulgaria","[63.7472618, 117.9605133]"
1084,Pedra do Sino,2670.0,8760,,"Serra dos Órgãos, Rio de Janeiro, Brazil",", Serra dos Órgãos, Rio de Janeiro, Brazil","[-20.8988652, -43.8255047]"
1085,Guadalupe Peak,2667.0,8750,,"Guadalupe Mountains, Texas – Highest in Texas",", Guadalupe Mountains, Texas – Highest in Texas","[34.81672000000003, -106.41168999999996]"
1086,Gjeravica,2656.0,8714,,"Accursed Mountains, Kosovo – Highest in Kosovo",", Accursed Mountains, Kosovo – Highest in Kosovo","[42.53293000000008, 20.140730000000076]"
1087,Großer Krottenkopf,2656.0,8714,,"Allgäu Alps, Tyrol, Austria",", Allgäu Alps, Tyrol, Austria","[47.31152000000003, 10.356010000000026]"
1088,Pic del Port Vell,2655.0,8711,,"Pyrenees, Andorra",", Pyrenees, Andorra","[42.57205000000005, 1.4434100000000285]"
1089,Gerlachov Peak,2655.0,8711,,"High Tatras, Slovakia",", High Tatras, Slovakia","[49.350400000000036, 21.094380000000058]"
1090,Mount Michelson,2652.0,8701,,"Chugach Mountains, Alaska, US",", Chugach Mountains, Alaska, US","[61.28056000000004, -147.22443999999996]"
1091,Torre Cerredo,2650.0,8694,,"Picos de Europa, Spain – Highest in Picos de Europa",", Picos de Europa, Spain – Highest in Picos de Europa","[43.18333000000007, -4.783329999999978]"
1092,Mount St. Piran,2649.0,8691,,"Bow Range, Alberta, Canada",", Bow Range, Alberta, Canada","[51.41960000000006, -116.25053999999994]"
1093,Mount Meager,2645.0,8678,,"British Columbia, Canada",", British Columbia, Canada","[50.63163000000003, -123.50404999999995]"
1094,Mount Trus Madi,2642.0,8668,,"Trus Madi Range, Sabah, Malaysia – No. 2 in Malaysia",", Trus Madi Range, Sabah, Malaysia – No. 2 in Malaysia","[5.550000000000068, 116.51667000000009]"
1095,Meesapulimala,2640.0,8661,,"Tamil Nadu/Kerela, India",", Tamil Nadu/Kerela, India",
1096,Doddabetta,2637.0,8652,,"Tamil Nadu, India",", Tamil Nadu, India","[11.401960000000031, 76.73658000000006]"
1097,Piton de la Fournaise,2631.0,8632,,Réunion,", Réunion","[-21.242819999999938, 55.70849000000004]"
1098,Mount Crean,2630.0,8629,,Victoria Land,", Victoria Land","[-77.88332999999994, 159.5000000000001]"
1099,Naina Peak (China Peak),2619.0,8593,,"India, Uttarakhand",", India, Uttarakhand","[31.89092000000005, -109.98395999999997]"
1100,Cardinal Peak,2618.0,8589,,"Washington, US",", Washington, US","[47.380490000000066, -113.36812999999995]"
1101,Peña Vieja,2617.0,8586,,"Picos de Europa, Cantabria, Spain",", Picos de Europa, Cantabria, Spain","[43.17412000000007, -4.810109999999952]"
1102,Barbeau Peak,2616.0,8583,,"Nunavut, Canada – Highest in Nunavut",", Nunavut, Canada – Highest in Nunavut","[81.91045000000008, -75.02028999999999]"
1103,Pelister Peak,2601.0,8533,,North Macedonia,", North Macedonia","[41.00327000000004, 21.184030000000064]"
1104,Mount Abao,2596.0,8517,,Philippines,", Philippines","[16.833300000000065, 120.9167000000001]"
1105,Pico Almanzor,2592.0,8504,,Spain,", Spain","[40.949292, -5.6486129]"
1106,Mount Currie,2591.0,8501,,"BC, Canada",", BC, Canada","[50.325811471000065, -122.65728261599997]"
1107,Pizzo Molare,2585.0,8481,,"Ticino, Switzerland",", Ticino, Switzerland","[46.488620000000026, 8.865060000000028]"
1108,Mount Tavkvetili,2583.0,8474,,Georgia,", Georgia","[41.680660000000046, 43.721310000000074]"
1109,Mount Tambuyukon,2579.0,8461,,"Sabah, Malaysia",", Sabah, Malaysia","[6.203600000000051, 116.65930000000003]"
1110,Argonaut Peak,2576.0,8451,,"Washington, US",", Washington, US","[47.470120000000065, -120.86147999999997]"
1111,Doi Inthanon,2565.0,8415,,Thailand – Highest in Thailand,", Thailand – Highest in Thailand","[18.587830000000054, 98.48631000000006]"
1112,Cooke's Peak/Cook's Peak,2563.0,8409,,"New Mexico, US",", New Mexico, US","[32.53703000000007, -107.73113999999998]"
1113,Pic dels Aspres,2562.0,8406,,"Pyrenees, Andorra",", Pyrenees, Andorra","[42.57355000000007, 1.4511900000000537]"
1114,Ledyanaya,2562.0,8406,,Russia – Highest of the Koryak Mountains,", Russia – Highest of the Koryak Mountains","[70.83333000000005, 96.36667000000006]"
1115,Aguja Saint Exupery,2558.0,8392,,Argentina,", Argentina","[-49.28819999999996, -73.03879999999998]"
1116,Mount St. Helens,2550.0,8366,,"Washington, US",", Washington, US","[46.19120000000004, -122.19439999999997]"
1117,Big Hatchet Peak,2547.0,8356,,"New Mexico, US",", New Mexico, US","[31.63566000000003, -108.39864999999998]"
1118,Moldoveanu Peak,2544.0,8346,,Romania,", Romania","[45.59955000000008, 24.73616000000004]"
1119,Mount Vineuo,2536.0,8320,,Papua New Guinea,", Papua New Guinea","[-9.333329999999933, 150.20000000000005]"
1120,Negoiu Peak,2535.0,8317,,Romania,", Romania","[45.58502000000004, 24.558560000000057]"
1121,Vistea Mare,2527.0,8291,,Romania,", Romania","[45.602900000000034, 24.735730000000046]"
1122,Pidurutalagala,2524.0,8281,,Sri Lanka,", Sri Lanka","[7.001000000000033, 80.77150000000006]"
1123,Mount Norquay,2522.0,8274,,"Canadian Rockies, Canada",", Canadian Rockies, Canada","[51.200000000000045, -115.63329999999996]"
1124,Hualalai,2521.0,8271,,"Hawaii, US",", Hawaii, US","[19.68906000000004, -155.86444999999998]"
1125,Mount Yesenin,2520.0,8268,,Antarctica,", Antarctica","[-72.04999999999995, 14.433330000000069]"
1126,Parangu Mare,2519.0,8264,,Romania,", Romania","[45.33994000000007, 23.538880000000063]"
1127,Mount Taranaki/Egmont,2518.0,8261,,New Zealand,", New Zealand","[-39.2703035, 174.0959636]"
1128,Garfield Peak,2512.0,8241,,"Wyoming, US",", Wyoming, US","[31.998140000000035, -109.36116999999996]"
1129,Mount Joern,2510.0,8235,,Antarctica,", Antarctica","[-72.58332999999993, 160.4000000000001]"
1130,Mount Veniaminof,2507.0,8225,,"Alaska, US",", Alaska, US","[56.198330000000055, -159.39110999999997]"
1131,Omu Peak,2505.0,8219,,Romania,", Romania","[44.46973000000003, 142.91434000000004]"
1132,Rysy,2503.0,8212,,"Tatras, Poland/Slovakia",", Tatras, Poland/Slovakia","[49.17907000000008, 20.088420000000042]"
1133,Mount Tymfi,2497.0,8192,,"Pindus, Greece",", Pindus, Greece","[39.92413562396702, 20.873807147457423]"
1134,Monte Velino,2487.0,8159,,Abruzzo Italy,", Abruzzo Italy","[42.147200000000055, 13.381700000000023]"
1135,Monte Vettore,2476.0,8123,,Abruzzo Italy,", Abruzzo Italy","[43.131056, 13.5877268]"
1136,Špik,2472.0,8110,,"Julian Alps, Slovenia",", Julian Alps, Slovenia","[63.7259077, 23.0563737]"
1137,Luna Peak,2470.0,8104,,"British Columbia, Canada",", British Columbia, Canada","[48.83068000000003, -121.27317999999997]"
1138,Galdhøpiggen,2469.0,8100,,Norway – Highest,", Norway – Highest","[61.63635000000005, 8.313240000000064]"
1139,Kanlaon,2465.0,8087,,"Negros Occidental and Negros Oriental, Philippines",", Negros Occidental and Negros Oriental, Philippines","[22.2302927, 77.1817119]"
1140,Glittertind,2464.0,8084,,Norway,", Norway","[61.65122000000008, 8.55749000000003]"
1141,El Capitan,2464.0,8084,,"Texas, US",", Texas, US","[33.238545, -110.783774]"
1142,Shimbiris,2464.0,8084,,Somalia,", Somalia","[10.735210000000052, 47.24511000000007]"
1143,Mayon,2463.0,8081,,"Albay, Philippines",", Albay, Philippines","[12.9533114, 123.7770892]"
1144,Monte Gorzano,2458.0,8064,,Abruzzo Italy,", Abruzzo Italy","[42.616670000000056, 13.400000000000034]"
1145,Mount Psiloritis,2456.0,8058,,"Crete, Greece",", Crete, Greece","[48.138017, 11.532383]"
1146,Mount Pachnes (Lefka Ori),2453.0,8048,,"Crete, Greece",", Crete, Greece",
1147,Sulphur Mountain,2451.0,8041,,"Canadian Rockies, Canada",", Canadian Rockies, Canada","[36.10146000000003, -93.08100999999994]"
1148,Sunset Crater,2451.0,8041,,"Arizona, US",", Arizona, US","[35.36418000000003, -111.50404999999995]"
1149,Cima del Redentore (Sibillini Mountains),2448.0,8031,,Marche - Umbria Italy,", Marche - Umbria Italy","[42.82522000000006, 13.254750000000058]"
1150,Faraya Mzaar,2444.0,8018,,"Keserwan, Lebanon",", Keserwan, Lebanon","[33.9935956, 35.8367958]"
1151,Triple Divide Peak,2444.0,8018,,"Montana, US",", Montana, US","[52.03556000000003, -176.12721999999997]"
1152,Blackcomb Peak,2436.0,7992,,"Whistler BC, Canada",", Whistler BC, Canada","[50.08160000000004, -122.87083999999999]"
1153,Monte Binga,2436.0,7992,,"Manica, Mozambique",", Manica, Mozambique","[-9.949999999999932, 14.533330000000035]"
1154,Mount Olympus,2432.0,7979,,"Washington, US",", Washington, US","[40.081750000000056, 22.349540000000047]"
1155,Peñalara,2430.0,7972,,Spain,", Spain","[40.849920000000054, -3.955419999999947]"
1156,Mesa de los Tres Reyes,2428.0,7966,,"Navarre, Spain – Highest point in Navarre",", Navarre, Spain – Highest point in Navarre","[42.91840000000008, -0.7238599999999451]"
1157,Mount Daniel,2426.0,7959,,"Washington, US",", Washington, US","[38.89761000000004, -77.18247999999994]"
1158,Mount Murud,2423.0,7949,,"Kelabit Highlands, Sarawak, Malaysia – Highest mountain in Sarawak",", Kelabit Highlands, Sarawak, Malaysia – Highest mountain in Sarawak","[3.9051000000000613, 115.48802]"
1159,Mocho,2422.0,7946,,"Los Ríos Region, Chile",", Los Ríos Region, Chile","[10.6163, -85.4283]"
